    --------------------------------------------------------------------------
    TEKLA STRUCTURES PARTS LIST FOR CONTRACT NO:   1        Page: 1
     CONTRACT:  CTIB 2026                                   Date: 05.05.2026
    --------------------------------------------------------------------------
    PartPos    Profile      No.   Material     Length   Area(m2)   Weight(kg)
    Hormi***  1500*150      1     Conc***       22206      73.7     11991.4
    Hormi***  1500*1000     2     Conc***        5400      30.0     19440.0
    Hormi***  1500*1000     2     Conc***        7416      40.1     26696.8
    Hormi***  1500*200      1     Conc***       27392      93.7     19722.1
    Hormi***  950*1000      1     Conc***       55400     218.0    126312.5
    Hormi***  950*1000      1     Conc***       55800     219.5    127224.4
    Hormi***  1000*300      1     Conc***       55800     145.7     40176.1
    Hormi***  800*300       2     Conc***       55800     123.2     32140.8
    Hormi***  D1400         8     C20/25        40450     180.9    149170.1
    Hormi***  CUT500*8500   4     C20/25       101250    1831.0   1032750.0
    Hormi***  CUT400*8760   2     C20/25       101250    1861.9    851472.0
    Hormi***  CUT400*7250   2     C20/25       101250    1554.9    704700.0
    Hormi***  CUT500*7600   1     C20/25       101250    1647.8    923400.0
    Hormi***  D1400         6     C20/25        12000      55.8     44253.2
    Hormi***  D800          14    C20/25         4800      13.1      5774.1
    Hormi***  D1100         14    C20/25        56000     195.3    127456.8
    Hormi***  D700          4     Conc***       23900      53.3     21999.8
    Hormi***  1000*1800     3     Conc***        3600      23.8     15552.1
    Hormi***  1000*4297     8     Conc***        5000      48.5     39095.6
    Hormi***  1000*1800     1     Conc***        6000      37.2     25920.2
    b/1       IPE450        2     S235JR         8054      12.9       624.7
    b/3       IPE450        2     S235JR         8114      13.0       629.3
    b/4       HEA450        1     S235JR         8248      16.6      1152.5
    b/5       HEA450        1     S235JR         8201      16.5      1145.9
    b/6       HEA450        1     S235JR         7867      15.8      1099.3
    b/7       HEA450        3     S235JR         1481       3.0       206.9
    b/8       HEA450        2     S235JR         9254      18.6      1293.1
    b/9       HEA450        2     S235JR         2826       5.7       394.8
    b/10      HEA450        1     S235JR         9268      18.6      1295.0
    b/11      HEA450        2     S235JR         2822       5.7       394.3
    b/12      HI830-10-***  1     S235JR         2615       6.9       416.8
    b/14      HI830-10-***  1     S235JR         7126      18.9      1135.6
    b/15      HI830-10-***  1     S235JR         7126      18.9      1135.6
    b/16      HI830-11-***  13    S235JR        11112      27.5      1379.5
    b/21      HEA450        2     S235JR         2656       5.3       371.1
    b/22      HEA450        1     S235JR         8155      16.4      1139.5
    b/23      HEA450        1     S235JR         7809      15.7      1091.1
    b/24      IPE450        2     S235JR         2604       4.2       202.0
    b/26      IPE450        2     S235JR         8117      13.0       629.5
    b/28      IPE450        1     S235JR         8261      13.3       640.7
    b/29      IPE450        1     S235JR         8261      13.3       640.7
    b/30      HEA450        1     S235JR         8261      16.6      1154.4
    b/31      HEA450        1     S235JR         8220      16.5      1148.6
    b/32      HEA450        1     S235JR         8101      16.3      1132.0
